time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
170820.0,1.2,0.16093576925464045,0.16093576925464045,0.05333098245234947,0.1258183488922645,3,1.8858430095303191e-10,8.782308213994838e-11,0.0,5.214643434457849e-13,1.3783383196685065e-12
170880.0,1.2,0.16089608324224952,0.16089608324224952,0.053328190432312385,0.1257916165910699,3,1.8813237079307044e-10,9.845280146691948e-11,0.0,5.210308905345326e-13,1.3773599464967953e-12
170940.0,1.2,0.16085643180286974,0.16085643180286974,0.05332540206862553,0.12576490661090534,3,1.876815577950275e-10,9.413270163349807e-11,0.0,5.206421859503673e-13,1.376382639876463e-12
171000.0,1.2,0.160816814889947,0.160816814889947,0.05332261735484875,0.12573821892254655,3,1.8723230604811292e-10,8.458300726488233e-11,0.0,5.202513922653167e-13,1.3754063957303365e-12
171060.0,1.2,0.16077723245700923,0.16077723245700923,0.05331983628455433,0.12571155349682092,3,1.867840257463449e-10,1.0686562745831907e-10,0.0,5.197444022829245e-13,1.374431214323527e-12
171120.0,1.2,0.1607376844576679,0.1607376844576679,0.0533170588513283,0.1256849103046071,3,1.8633724424566012e-10,9.299583325628191e-11,0.0,5.19269593411539e-13,1.3734570941054847e-12
171180.0,1.2,0.16069817084561602,0.16069817084561602,0.053314285048775244,0.12565828931683504,3,1.8589140643454627e-10,1.0373923942097463e-10,0.0,5.188626418318657e-13,1.372484033636088e-12
171240.0,1.2000000000000002,0.16065869157463036,0.16065869157463036,0.05331151487051098,0.1256316905044857,3,1.854469286466376e-10,1.063540366885718e-10,0.0,5.184681093433859e-13,1.3715120314772835e-12
171300.0,1.2,0.1606192465985677,0.1606192465985677,0.053308748310163884,0.12560511383859121,3,1.8500358883732915e-10,1.1948486644541845e-10,0.0,5.179868458691841e-13,1.3705410845842192e-12
171360.0,1.2000000000000002,0.16057983587136782,0.16057983587136782,0.053305985361379565,0.12557855929023445,3,1.8456157435675635e-10,9.29389898374211e-11,0.0,5.176066440135016e-13,1.3695711933183731e-12
171420.0,1.2,0.16054045934705244,0.16054045934705244,0.05330322601781416,0.12555202683054925,3,1.841207186714655e-10,1.0396661309641786e-10,0.0,5.171651712884256e-13,1.3686023553566086e-12
171480.0,1.2000000000000002,0.1605011169797238,0.1605011169797238,0.053300470273141796,0.12552551643072002,3,1.836811813760164e-10,9.64632818067912e-11,0.0,5.167166509315911e-13,1.367634569237711e-12
171540.0,1.1999999999999997,0.16046180872356616,0.16046180872356616,0.053297718121047825,0.12549902806198165,3,1.8324260164792605e-10,9.237055564881302e-11,0.0,5.16177128425398e-13,1.36666783498815e-12
