time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface,radius_cm,cmax_kg_kg,volume_mean_kg_kg
1380.0,2.5499999999999985,2.5500000000000003,2.5500000000000034,2.5500000000000047,2.5500000000000074,2.5500000000000065,2.5500000000000043,2.549999999999922,2.549999999994973,2.54999999975615,2.549999991271409,2.5499997705239923,2.5499955740780313,2.549937385077503,2.5493481259500954,2.544984168751348,2.5212216008952293,2.4253778200355245,2.134621309889221,,1.4742302254754365,1.8975730355987055,2.5500000000000087,2.4473705322877772
1440.0,2.5499999999999954,2.549999999999998,2.5500000000000043,2.5500000000000056,2.550000000000006,2.550000000000006,2.5500000000000025,2.5499999999997227,2.5499999999847516,2.549999999369932,2.549999980553252,2.549999554335036,2.549992407236578,2.5499038913400356,2.5490928536686708,2.543583691057886,2.515710915435824,2.4097974527763277,2.103314647442196,,1.4654806196637347,1.8938441941747572,2.550000000000008,2.443921211565011
1500.0,2.549999999999997,2.549999999999996,2.5500000000000025,2.5500000000000056,2.5500000000000025,2.5500000000000047,2.549999999999991,2.5499999999990903,2.549999999957295,2.5499999984774866,2.5499999591155533,2.5499991747323323,2.5499874698235816,2.5498569267110027,2.548766739500492,2.541932036837359,2.5096272171458507,2.393516090637638,2.0719035145684126,,1.4568002072574064,1.890186084142395,2.5500000000000105,2.440458344852735
1560.0,2.5499999999999976,2.5499999999999985,2.5500000000000047,2.5500000000000087,2.5500000000000065,2.550000000000004,2.5499999999999488,2.549999999997248,2.5499999998884224,2.549999996540957,2.5499999183830684,2.5499985352628327,2.549980025570418,2.549792759516281,2.5483580770170686,2.540010609928771,2.5029693301425793,2.376593127922258,2.0405411503228126,,1.4483608702888335,1.8865999482200648,2.550000000000012,2.4369793558754527
1620.0,2.55,2.5499999999999985,2.5500000000000034,2.550000000000007,2.550000000000007,2.5500000000000065,2.5499999999998306,2.5499999999922554,2.549999999726709,2.5499999925645143,2.549999844347451,2.5499974983567046,2.5499691340492334,2.5497071027041183,2.5478546877045356,2.5378018719460567,2.495746156255233,2.3590463517332037,2.009244089841013,,1.4400914411082961,1.8830870291262134,2.55000000000001,2.4334795559002322
1680.0,2.5499999999999994,2.5499999999999985,2.5500000000000016,2.55000000000001,2.550000000000005,2.5499999999999985,2.5499999999994856,2.5499999999796046,2.5499999993681923,2.549999984772106,2.549999715240209,2.549995872959925,2.549953622431015,2.549595109744568,2.547243942167718,2.535290068681811,2.487965509193949,2.3409684367901904,1.978072153067806,,1.4319767432995152,1.879648569579288,2.550000000000012,2.429956028991295
1740.0,2.550000000000004,2.5500000000000007,2.5500000000000056,2.5500000000000083,2.550000000000005,2.5499999999999714,2.549999999998541,2.549999999949337,2.5499999986125186,2.5499999701849263,2.549999498476303,2.549993401746459,2.549932061685932,2.5494514043465326,2.5465132206253123,2.5324609438151384,2.4796347303838044,2.3223973533842073,1.9470921585371463,,1.4242308310921332,1.8762858122977346,2.5500000000000127,2.4264042628266336
1800.0,2.5499999999999994,2.5500000000000003,2.550000000000006,2.550000000000008,2.5500000000000047,2.5499999999998986,2.549999999996128,2.5499999998810083,2.5499999970969576,2.549999943977977,2.5499991466725374,2.5499897468249504,2.5499027409373722,2.549270063301939,2.545649649405778,2.5292990593144395,2.4707545126554074,2.3033542193928436,1.9163470591413807,,1.416714824360196,1.873,2.550000000000009,2.4228193711998993
1860.0,2.5499999999999994,2.549999999999999,2.5500000000000034,2.550000000000008,2.5499999999999963,2.549999999999713,2.5499999999902605,2.549999999733699,2.549999994175358,2.5499998984559094,2.549998591609719,2.5499844654478316,2.549863606679244,2.5490445666765353,2.5446401935247343,2.525793300439375,2.461334744555019,2.2838794779475444,1.8859081266513653,,1.4092801268579558,1.86979928835586,2.55000000000001,2.419190602389184
1920.0,2.549999999999998,2.5499999999999994,2.550000000000004,2.5500000000000034,2.5499999999999816,2.5499999999992333,2.5499999999767735,2.549999999431272,2.5499999887740965,2.5499998221182585,2.5499977409037253,2.549977009703042,2.549812311508999,2.548767902552078,2.5434720338991794,2.5219344245194355,2.451396092142399,2.2640509444413004,1.8559082887204286,,1.401710526662519,1.8666874513357448,2.5500000000000056,2.4155133775426236
