study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,1.0,259200.0,1.8,-2.4840574042173102e-11,2.4840574042173102e-11,-1.6520132484210137e-11,1.6520132484210137e-11
time,1.0,259200.0,1.9,-2.3817392502678558e-11,2.3817392502678558e-11,-1.844842334453034e-11,1.844842334453034e-11
time,1.0,259200.0,2.0,-2.290789780090563e-11,2.290789780090563e-11,-1.6469325903045728e-12,1.6469325903045728e-12
time,0.5,21600.0,0.0,5.559286364587024e-11,5.559286364587024e-11,-2.0323653870946146e-10,2.0323653870946146e-10
time,0.5,21600.0,0.1,5.5649707064731047e-11,5.5649707064731047e-11,-2.0296497815763814e-10,2.0296497815763814e-10
time,0.5,21600.0,0.2,5.667288860422559e-11,5.667288860422559e-11,-2.0214119267336628e-10,2.0214119267336628e-10
time,0.5,21600.0,0.3,5.576339390245266e-11,5.576339390245266e-11,-2.007869426279285e-10,2.007869426279285e-10
time,0.5,21600.0,0.4,5.491074261954054e-11,5.491074261954054e-11,-1.9889889735225097e-10,1.9889889735225097e-10
time,0.5,21600.0,0.5,5.417177817435004e-11,5.417177817435004e-11,-1.9649537552623997e-10,1.9649537552623997e-10
time,0.5,21600.0,0.6,5.383071766118519e-11,5.383071766118519e-11,-1.9359824854348062e-10,1.9359824854348062e-10
time,0.5,21600.0,0.7,5.2580162446247414e-11,5.2580162446247414e-11,-1.9021673125507732e-10,1.9021673125507732e-10
time,0.5,21600.0,0.8,5.1102233555866405e-11,5.1102233555866405e-11,-1.863919019129412e-10,1.863919019129412e-10
time,0.5,21600.0,0.9,5.019273885409348e-11,5.019273885409348e-11,-1.8215040586966325e-10,1.8215040586966325e-10
time,0.5,21600.0,1.0,4.9112713895738125e-11,4.9112713895738125e-11,-1.7752677106130932e-10,1.7752677106130932e-10
time,0.5,21600.0,1.1,4.7919002099661157e-11,4.7919002099661157e-11,-1.7256807094412352e-10,1.7256807094412352e-10
time,0.5,21600.0,1.2,4.61000126961153e-11,4.61000126961153e-11,-1.673102767441037e-10,1.673102767441037e-10
time,0.5,21600.0,1.3,4.46789272245951e-11,4.46789272245951e-11,-1.618069012110368e-10,1.618069012110368e-10
time,0.5,21600.0,1.4,4.359890226623975e-11,4.359890226623975e-11,-1.561142326522713e-10,1.561142326522713e-10
time,0.5,21600.0,1.5,4.1950443119276315e-11,4.1950443119276315e-11,-1.5029388844567393e-10,1.5029388844567393e-10
time,0.5,21600.0,1.6,3.9960923459148034e-11,3.9960923459148034e-11,-1.444248054482955e-10,1.444248054482955e-10
time,0.5,21600.0,1.7,3.89945853385143e-11,3.89945853385143e-11,-1.3860901315609908e-10,1.3860901315609908e-10
time,0.5,21600.0,1.8,3.47313289239537e-11,3.47313289239537e-11,-1.3300949230909964e-10,1.3300949230909964e-10
time,0.5,21600.0,1.9,3.035438567167148e-11,3.035438567167148e-11,-1.2789347358932446e-10,1.2789347358932446e-10
time,0.5,21600.0,2.0,2.808064891723916e-11,2.808064891723916e-11,-1.237476787707692e-10,1.237476787707692e-10
time,0.5,43200.0,0.0,-2.8990143619012088e-11,2.8990143619012088e-11,-1.198639520971767e-10,1.198639520971767e-10
time,0.5,43200.0,0.1,-2.859223968698643e-11,2.859223968698643e-11,-1.1971235114316414e-10,1.1971235114316414e-10
time,0.5,43200.0,0.2,-2.7569058147491887e-11,2.7569058147491887e-11,-1.1925632703579936e-10,1.1925632703579936e-10
time,0.5,43200.0,0.3,-2.7569058147491887e-11,2.7569058147491887e-11,-1.1849993208912224e-10,1.1849993208912224e-10
time,0.5,43200.0,0.4,-2.7057467377744615e-11,2.7057467377744615e-11,-1.1744327732543525e-10,1.1744327732543525e-10
time,0.5,43200.0,0.5,-2.6489033189136535e-11,2.6489033189136535e-11,-1.1608358718717682e-10,1.1608358718717682e-10
time,0.5,43200.0,0.6,-2.609112925711088e-11,2.609112925711088e-11,-1.1442385927651344e-10,1.1442385927651344e-10
time,0.5,43200.0,0.7,-2.5693225325085223e-11,2.5693225325085223e-11,-1.1247014430892932e-10,1.1247014430892932e-10
time,0.5,43200.0,0.8,-2.518163455533795e-11,2.518163455533795e-11,-1.1020967471964127e-10,1.1020967471964127e-10
time,0.5,43200.0,0.9,-2.546585164964199e-11,2.546585164964199e-11,-1.0763845370576064e-10,1.0763845370576064e-10
time,0.5,43200.0,1.0,-2.5409008230781183e-11,2.5409008230781183e-11,-1.0476142175974701e-10,1.0476142175974701e-10
time,0.5,43200.0,1.1,-2.5067947717616335e-11,2.5067947717616335e-11,-1.0157225061036002e-10,1.0157225061036002e-10
time,0.5,43200.0,1.2,-2.546585164964199e-11,2.546585164964199e-11,-9.807088474644843e-11,9.807088474644843e-11
time,0.5,43200.0,1.3,-2.5579538487363607e-11,2.5579538487363607e-11,-9.424883096187386e-11,9.424883096187386e-11
time,0.5,43200.0,1.4,-2.5409008230781183e-11,2.5409008230781183e-11,-9.00907681788965e-11,9.00907681788965e-11
time,0.5,43200.0,1.5,-2.4556356947869062e-11,2.4556356947869062e-11,-8.559219999426659e-11,8.559219999426659e-11
time,0.5,43200.0,1.6,-2.2566837287740782e-11,2.2566837287740782e-11,-8.076356250441563e-11,8.076356250441563e-11
time,0.5,43200.0,1.7,-1.4779288903810084e-11,1.4779288903810084e-11,-7.56575913030133e-11,7.56575913030133e-11
time,0.5,43200.0,1.8,-2.1657342585967854e-11,2.1657342585967854e-11,-7.04992730859999e-11,7.04992730859999e-11
time,0.5,43200.0,1.9,-2.2509993868879974e-11,2.2509993868879974e-11,-6.64563959418274e-11,6.64563959418274e-11
time,0.5,43200.0,2.0,-1.8530954548623413e-11,1.8530954548623413e-11,-7.744471730575242e-11,7.744471730575242e-11
time,0.5,86400.0,0.0,-2.5409008230781183e-11,2.5409008230781183e-11,-3.266636960930214e-11,3.266636960930214e-11
time,0.5,86400.0,0.1,-2.5636381906224415e-11,2.5636381906224415e-11,-3.261910186402872e-11,3.261910186402872e-11
time,0.5,86400.0,0.2,-2.6204816094832495e-11,2.6204816094832495e-11,-3.248354363272199e-11,3.248354363272199e-11
