time_s,position_label,radius_cm,C_ref_surface,C_test_surface,signed_error,absolute_error
81.0,surface,2.0,2.275481762806282,2.275506794564942,2.5031758660087888e-05,2.5031758660087888e-05
82.0,near_surface_1.9cm,1.9,2.50231553488135,2.50232415351421,8.618632859835884e-06,8.618632859835884e-06
82.0,surface,2.0,2.273898094686284,2.273922926972699,2.4832286414699922e-05,2.4832286414699922e-05
83.0,near_surface_1.9cm,1.9,2.501404259457103,2.501412957030596,8.697573492977284e-06,8.697573492977284e-06
83.0,surface,2.0,2.272325282756207,2.2723499192542778,2.463649807094015e-05,2.463649807094015e-05
84.0,near_surface_1.9cm,1.9,2.500492398636209,2.5005011724267945,8.77379058561445e-06,8.77379058561445e-06
84.0,surface,2.0,2.270763130259785,2.2707875745428057,2.444428302084134e-05,2.444428302084134e-05
85.0,near_surface_1.9cm,1.9,2.499580041950179,2.4995888893171085,8.847366929742861e-06,8.847366929742861e-06
85.0,surface,2.0,2.2692114462907034,2.2692357018259446,2.4255535241213266e-05,2.4255535241213266e-05
86.0,near_surface_1.9cm,1.9,2.4986672751022536,2.498676193485055,8.918382801592628e-06,8.918382801592628e-06
86.0,surface,2.0,2.2676700455519763,2.2676941157050354,2.40701530591636e-05,2.40701530591636e-05
87.0,near_surface_1.9cm,1.9,2.4977541801377017,2.497763167053712,8.986916010478296e-06,8.986916010478296e-06
87.0,surface,2.0,2.266138748127925,2.2661626361668303,2.3888038905184317e-05,2.3888038905184317e-05
88.0,near_surface_1.9cm,1.9,2.4968408356057887,2.4968498886477524,9.053041963635877e-06,9.053041963635877e-06
88.0,surface,2.0,2.2646173792679347,2.264641088367072,2.3709099137292355e-05,2.3709099137292355e-05
89.0,near_surface_1.9cm,1.9,2.495927316713889,2.4959364335476164,9.116833727507156e-06,9.116833727507156e-06
89.0,surface,2.0,2.263105769181301,2.263129302425103,2.3533243802109638e-05,2.3533243802109638e-05
90.0,near_surface_1.9cm,1.9,2.4950136954741295,2.4950228738362177,9.178362088135827e-06,9.178362088135827e-06
90.0,surface,2.0,2.261603752842404,2.2616271132288808,2.3360386476767303e-05,2.3360386476767303e-05
91.0,near_surface_1.9cm,1.9,2.494100040842953,2.494109278538577,9.237695623998121e-06,9.237695623998121e-06
91.0,surface,2.0,2.260111169805654,2.260134360249733,2.3190444078835526e-05,2.3190444078835526e-05
92.0,near_surface_1.9cm,1.9,2.493186418854004,2.4931957137547496,9.294900745526746e-06,9.294900745526746e-06
92.0,surface,2.0,2.258627864029551,2.258650887366261,2.3023336710004116e-05,2.3023336710004116e-05
93.0,near_surface_1.9cm,1.9,2.4922728927446407,2.492282242786416,9.350041775491036e-06,9.350041775491036e-06
93.0,surface,2.0,2.257153683709372,2.2571765426968713,2.2858987499319028e-05,2.2858987499319028e-05
94.0,near_surface_1.9cm,1.9,2.491359523076427,2.4913689262574326,9.403181005396277e-06,9.403181005396277e-06
94.0,surface,2.0,2.25568848111793,2.2557111784403774,2.2697322447307045e-05,2.2697322447307045e-05
95.0,near_surface_1.9cm,1.9,2.4904463678499265,2.4904558222286806,9.454378754103487e-06,9.454378754103487e-06
95.0,surface,2.0,2.254232112453948,2.2542546507242585,2.2538270310512587e-05,2.2538270310512587e-05
96.0,near_surface_1.9cm,1.9,2.489533482614065,2.4895429863074936,9.503693428669635e-06,9.503693428669635e-06
96.0,surface,2.0,2.2527844376976174,2.252806819460062,2.238176244473422e-05,2.238176244473422e-05
97.0,near_surface_1.9cm,1.9,2.488620920570365,2.4886304717519474,9.551181582523327e-06,9.551181582523327e-06
97.0,surface,2.0,2.251345320472907,2.251367548205617,2.2227732709989567e-05,2.2227732709989567e-05
98.0,near_surface_1.9cm,1.9,2.4877087326723095,2.487718329570281,9.596897971420049e-06,9.596897971420049e-06
98.0,surface,2.0,2.2499146279162683,2.2499367040336025,2.2076117334179912e-05,2.2076117334179912e-05
99.0,near_surface_1.9cm,1.9,2.486796967720068,2.4868066086156877,9.640895619611456e-06,9.640895619611456e-06
99.0,surface,2.0,2.2484922305513524,2.2485141574061664,2.1926854814058316e-05,2.1926854814058316e-05
100.0,near_surface_1.9cm,1.9,2.485885672450858,2.4858953556767154,9.683225857592959e-06,9.683225857592959e-06
100.0,surface,2.0,2.2470780021694066,2.2470997820552276,2.17798858210827e-05,2.17798858210827e-05
