time_s,step_dt_s,C_inf,D_surface,robin_flux,literal_one_sided_diffusive_flux,literal_diffusive_minus_robin,face_diffusive_flux,face_diffusive_minus_robin,surface_control_volume_balance,picard_iterations,picard_final_normalized_residual,temperature_matrix_residual_linf,moisture_matrix_residual_linf,time_step_residual_normalized,time_alignment_error_s
2.8125,0.0625,0.01964828125,4.912320026107252e-09,1.994650540444278e-06,6.515193281647638e-07,-1.3431312122795141e-06,6.53025260224786e-07,-1.3416252802194919e-06,8.728217917757436e-18,2,7.234737950335595e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750792938498266e-16,0.0
2.875,0.0625,0.0196486875,4.911856350167238e-09,1.9941145368343024e-06,6.616942572285264e-07,-1.332420279605776e-06,6.632483024770623e-07,-1.33086623435724e-06,8.99705161683717e-18,2,7.320000466337336e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750789311105617e-16,0.0
2.9375,0.0625,0.019649093750000002,4.9113961372398554e-09,1.993582766238042e-06,6.717267463415509e-07,-1.321856019896491e-06,6.733290000957192e-07,-1.3202537661423228e-06,9.23229516560235e-18,2,7.4030629121476895e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750785644723957e-16,0.0
3.0,0.0625,0.0196495,4.9109393421283555e-09,1.9930551711223236e-06,6.816190762634095e-07,-1.311436094858914e-06,6.832696142190977e-07,-1.3097855569032258e-06,9.496106224002662e-18,2,7.483975966182368e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775078193979775e-16,0.0
3.0625,0.0625,0.01964990625,4.910485920306413e-09,1.9925316948629982e-06,6.913734885021646e-07,-1.3011582063608336e-06,6.930723675745695e-07,-1.2994593272884287e-06,9.744630984682994e-18,2,7.562789436093929e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750778196757327e-16,0.0
3.125,0.0625,0.019650312500000003,4.91003582790789e-09,1.9920122817295403e-06,7.009921860242235e-07,-1.2910200957053169e-06,7.027394451582798e-07,-1.2892728365712604e-06,1.001723000991107e-17,2,7.639551910466509e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750774416019575e-16,0.0
3.1875,0.0625,0.01965071875,4.909589021716751e-09,1.99149687686991e-06,7.104773339508447e-07,-1.2810195429190653e-06,7.122729949025652e-07,-1.2792238819673448e-06,1.025606021381228e-17,2,7.714311107121084e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750770597988645e-16,0.0
3.25,0.0625,0.019651125000000002,4.909145459157125e-09,1.9909854262956936e-06,7.198310602413131e-07,-1.2711543660543804e-06,7.216751283310341e-07,-1.2693102979646594e-06,1.0500389514425743e-17,2,7.787113176504957e-09,5.684341886080802e-14,8.881784197001252e-16,3.483052626274962e-16,0.0
3.3125,0.0625,0.019651531250000003,4.908705098283513e-09,1.990477876867502e-06,7.290554563635029e-07,-1.261422420503999e-06,7.309479212019901e-07,-1.259529955665512e-06,1.0768865871480855e-17,2,7.858003398302267e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775076285160391e-16,0.0
3.375,0.0625,0.0196519375,4.908267897771143e-09,1.9899741762806215e-06,7.381525779516422e-07,-1.2518215983289794e-06,7.400934141399859e-07,-1.2498807621406356e-06,1.1005571875569029e-17,2,7.927025658976107e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750758924000207e-16,0.0
3.4375,0.0625,0.019652343750000002,4.907833816906466e-09,1.9894742730509274e-06,7.471244454517075e-07,-1.2423498275992199e-06,7.491136132558985e-07,-1.2403606597950289e-06,1.1241841128293775e-17,2,7.994223844989565e-09,1.1368683772161603e-13,8.881784197001252e-16,3.77507549606046e-16,0.0
3.5,0.0625,0.01965275,4.907402815577785e-09,1.988978116501039e-06,7.559730447546867e-07,-1.2330050717463522e-06,7.580104907557401e-07,-1.2309676257452987e-06,1.1490928371790643e-17,2,8.059639056363633e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775075096176626e-16,0.0
3.5625,0.0625,0.01965315625,4.906974854266044e-09,1.9884856567467194e-06,7.647003278180423e-07,-1.2237853289286772e-06,7.667859855385025e-07,-1.221699671208217e-06,1.1759259145057945e-17,2,8.123313263882459e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775074692782484e-16,0.0
3.625,0.0625,0.019653562500000003,4.906549894035727e-09,1.987996844683517e-06,7.733082132753968e-07,-1.21468863140812e-06,7.754420037830329e-07,-1.212554840900484e-06,1.1979494328788964e-17,2,8.185286870956505e-09,5.684341886080802e-14,8.881784197001252e-16,3.483052626274958e-16,0.0
3.6875,0.0625,0.01965396875,4.906127896525913e-09,1.9875116319736394e-06,7.817985870347563e-07,-1.2057130449388831e-06,7.83980419524227e-07,-1.2035312124494123e-06,1.2231466778262417e-17,2,8.245598539469925e-09,5.684341886080802e-14,8.881784197001252e-16,3.4830526262749575e-16,0.0
3.75,0.0625,0.019654375,4.905708823941462e-09,1.987029971033061e-06,7.901733028657128e-07,-1.1968566681673484e-06,7.924030752189543e-07,-1.1946268958141069e-06,1.248110326968602e-17,2,8.304286408848974e-09,5.684341886080802e-14,8.881784197001252e-16,3.483052626274957e-16,0.0
3.8125,0.0625,0.019654781250000003,4.905292639044318e-09,1.9865518150188532e-06,7.984341829754409e-07,-1.1881176320434123e-06,8.00711782301509e-07,-1.1858400327173443e-06,1.2709180125624041e-17,2,8.361389315130438e-09,5.684341886080802e-14,8.881784197001252e-16,3.4830526262749565e-16,0.0
3.875,0.0625,0.0196551875,4.904879305144962e-09,1.986077117816741e-06,8.065830185740256e-07,-1.1794940992427156e-06,8.089083217290926e-07,-1.1771687960876487e-06,1.2941650964975944e-17,2,8.416942262993208e-09,5.684341886080802e-14,8.881784197001252e-16,3.4830526262749555e-16,0.0
3.9375,0.0625,0.019655593750000002,4.904468786093981e-09,1.985605834028877e-06,8.146215704292177e-07,-1.1709842635996592e-06,8.169944445174077e-07,-1.1686113895114692e-06,1.317979295460751e-17,2,8.470981998642495e-09,1.1368683772161603e-13,8.881784197001252e-16,3.77507220049359e-16,0.0
