test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.125,N80_dt0.0625_ref,2.5,r_1.5cm,1.5,2.550000000000001,2.5500000000000087,7.549516567451064e-15,7.549516567451064e-15
N80_dt0.125,N80_dt0.0625_ref,2.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.625,surface,2.0,2.5150027358185896,2.5151190976436304,0.00011636182504082271,0.00011636182504082271
N80_dt0.125,N80_dt0.0625_ref,2.625,r_1.5cm,1.5,2.550000000000001,2.550000000000009,7.993605777301127e-15,7.993605777301127e-15
N80_dt0.125,N80_dt0.0625_ref,2.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.625,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.75,surface,2.0,2.5136364194073084,2.5137550354895306,0.00011861608222218933,0.00011861608222218933
N80_dt0.125,N80_dt0.0625_ref,2.75,r_1.5cm,1.5,2.550000000000001,2.5500000000000096,8.43769498715119e-15,8.43769498715119e-15
N80_dt0.125,N80_dt0.0625_ref,2.75,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.75,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.875,surface,2.0,2.5122918585428784,2.5124125371961017,0.00012067865322329396,0.00012067865322329396
N80_dt0.125,N80_dt0.0625_ref,2.875,r_1.5cm,1.5,2.550000000000001,2.55000000000001,8.881784197001252e-15,8.881784197001252e-15
N80_dt0.125,N80_dt0.0625_ref,2.875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.875,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.0,surface,2.0,2.510968463902904,2.5110910236862773,0.0001225597833731662,0.0001225597833731662
N80_dt0.125,N80_dt0.0625_ref,3.0,r_1.5cm,1.5,2.550000000000001,2.5500000000000105,9.325873406851315e-15,9.325873406851315e-15
N80_dt0.125,N80_dt0.0625_ref,3.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.125,surface,2.0,2.5096656646619255,2.509789933893574,0.00012426923164854387,0.00012426923164854387
N80_dt0.125,N80_dt0.0625_ref,3.125,r_1.5cm,1.5,2.550000000000001,2.550000000000011,9.769962616701378e-15,9.769962616701378e-15
N80_dt0.125,N80_dt0.0625_ref,3.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.25,surface,2.0,2.5083829078696174,2.5085087241622266,0.00012581629260921545,0.00012581629260921545
N80_dt0.125,N80_dt0.0625_ref,3.25,r_1.5cm,1.5,2.550000000000001,2.5500000000000114,1.021405182655144e-14,1.021405182655144e-14
N80_dt0.125,N80_dt0.0625_ref,3.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.375,surface,2.0,2.507119657850777,2.507246867668143,0.00012720981736613624,0.00012720981736613624
N80_dt0.125,N80_dt0.0625_ref,3.375,r_1.5cm,1.5,2.550000000000001,2.550000000000012,1.0658141036401503e-14,1.0658141036401503e-14
N80_dt0.125,N80_dt0.0625_ref,3.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.5,surface,2.0,2.5058753956262985,2.506003853859927,0.0001284582336285034,0.0001284582336285034
N80_dt0.125,N80_dt0.0625_ref,3.5,r_1.5cm,1.5,2.550000000000001,2.5500000000000123,1.1102230246251565e-14,1.1102230246251565e-14
N80_dt0.125,N80_dt0.0625_ref,3.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.625,surface,2.0,2.5046496183543963,2.5047791879192682,0.00012956956487197857,0.00012956956487197857
N80_dt0.125,N80_dt0.0625_ref,3.625,r_1.5cm,1.5,2.550000000000001,2.5500000000000127,1.1546319456101628e-14,1.1546319456101628e-14
N80_dt0.125,N80_dt0.0625_ref,3.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.625,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.75,surface,2.0,2.5034418387913266,2.503572390239985,0.00013055144865825596,0.00013055144865825596
N80_dt0.125,N80_dt0.0625_ref,3.75,r_1.5cm,1.5,2.550000000000001,2.550000000000013,1.199040866595169e-14,1.199040866595169e-14
N80_dt0.125,N80_dt0.0625_ref,3.75,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.75,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.875,surface,2.0,2.5022515847709266,2.5023829959250814,0.00013141115415482574,0.00013141115415482574
N80_dt0.125,N80_dt0.0625_ref,3.875,r_1.5cm,1.5,2.550000000000001,2.5500000000000136,1.2434497875801753e-14,1.2434497875801753e-14
N80_dt0.125,N80_dt0.0625_ref,3.875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,3.875,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.0,surface,2.0,2.5010783987022838,2.501210554301159,0.00013215559887536088,0.00013215559887536088
N80_dt0.125,N80_dt0.0625_ref,4.0,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.125,surface,2.0,2.4999218370848855,2.500054628449575,0.0001327913646895773,0.0001327913646895773
N80_dt0.125,N80_dt0.0625_ref,4.125,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.25,surface,2.0,2.4987814700406252,2.498914794753743,0.00013332471311766625,0.00013332471311766625
N80_dt0.125,N80_dt0.0625_ref,4.25,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.375,surface,2.0,2.497656880862058,2.4977906424620153,0.00013376159995726056,0.00013376159995726056
N80_dt0.125,N80_dt0.0625_ref,4.375,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.5,surface,2.0,2.496547665576327,2.4966817732655864,0.00013410768925936623,0.00013410768925936623
N80_dt0.125,N80_dt0.0625_ref,4.5,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.625,surface,2.0,2.4954534325241964,2.495587800890881,0.00013436836668478946,0.00013436836668478946
N80_dt0.125,N80_dt0.0625_ref,4.625,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.625,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.75,surface,2.0,2.494373801953651,2.4945083507059285,0.00013454875227747465,0.00013454875227747465
N80_dt0.125,N80_dt0.0625_ref,4.75,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.75,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.75,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.875,surface,2.0,2.493308405627549,2.493443059340209,0.0001346537126596381,0.0001346537126596381
N80_dt0.125,N80_dt0.0625_ref,4.875,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,4.875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,4.875,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.0,surface,2.0,2.4922568864448165,2.4923915743175127,0.0001346878726962153,0.0001346878726962153
N80_dt0.125,N80_dt0.0625_ref,5.0,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.125,surface,2.0,2.491218898074708,2.491353553701345,0.0001346556266370591,0.0001346556266370591
N80_dt0.125,N80_dt0.0625_ref,5.125,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.25,surface,2.0,2.4901941046036655,2.4903286657524286,0.00013456114876309044,0.00013456114876309044
N80_dt0.125,N80_dt0.0625_ref,5.25,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.375,surface,2.0,2.4891821801943275,2.48931658859789,0.00013440840356260253,0.00013440840356260253
