test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt1,N80_dt0.0625_ref,18.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999985,-2.6645352591003757e-15,2.6645352591003757e-15
N80_dt1,N80_dt0.0625_ref,18.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,18.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,19.0,surface,2.0,2.4183495199578497,2.4194120453556947,0.0010625253978449045,0.0010625253978449045
N80_dt1,N80_dt0.0625_ref,19.0,r_1.5cm,1.5,2.550000000000001,2.549999999999998,-3.1086244689504383e-15,3.1086244689504383e-15
N80_dt1,N80_dt0.0625_ref,19.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,19.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,20.0,surface,2.0,2.414695980269624,2.4157194480282955,0.001023467758671348,0.001023467758671348
N80_dt1,N80_dt0.0625_ref,20.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999976,-3.552713678800501e-15,3.552713678800501e-15
N80_dt1,N80_dt0.0625_ref,20.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,20.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,21.0,surface,2.0,2.411150656125622,2.4121385899399783,0.0009879338143563565,0.0009879338143563565
N80_dt1,N80_dt0.0625_ref,21.0,r_1.5cm,1.5,2.550000000000001,2.549999999999997,-3.9968028886505635e-15,3.9968028886505635e-15
N80_dt1,N80_dt0.0625_ref,21.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,21.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,22.0,surface,2.0,2.407704768893813,2.4086603113358267,0.0009555424420137903,0.0009555424420137903
N80_dt1,N80_dt0.0625_ref,22.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999963,-4.884981308350689e-15,4.884981308350689e-15
N80_dt1,N80_dt0.0625_ref,22.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
