time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
86400.0,1.8,9.094947017729282e-13,9.094947017729282e-13,-9.875987011512266e-05,9.875987011512266e-05
86400.0,1.9,5.684341886080801e-13,5.684341886080801e-13,-0.0001395708929580186,0.0001395708929580186
86400.0,2.0,-3.808509063674137e-12,3.808509063674137e-12,7.006698900829944e-06,7.006698900829944e-06
172800.0,0.0,2.5579538487363607e-12,2.5579538487363607e-12,-3.6668303308340366e-05,3.6668303308340366e-05
172800.0,0.1,2.9558577807620168e-12,2.9558577807620168e-12,-3.6727423185528574e-05,3.6727423185528574e-05
172800.0,0.2,2.6716406864579767e-12,2.6716406864579767e-12,-3.690576544029822e-05,3.690576544029822e-05
172800.0,0.3,3.0127011996228248e-12,3.0127011996228248e-12,-3.720665109421817e-05,3.720665109421817e-05
172800.0,0.4,2.9558577807620168e-12,2.9558577807620168e-12,-3.763640155168835e-05,3.763640155168835e-05
172800.0,0.5,2.7853275241795927e-12,2.7853275241795927e-12,-3.820368959051024e-05,3.820368959051024e-05
172800.0,0.6,2.6147972675971687e-12,2.6147972675971687e-12,-3.891662668653595e-05,3.891662668653595e-05
172800.0,0.7,3.126388037344441e-12,3.126388037344441e-12,-3.9798462998841266e-05,3.9798462998841266e-05
172800.0,0.8,3.240074875066057e-12,3.240074875066057e-12,-4.086499847399949e-05,4.086499847399949e-05
172800.0,0.9,3.865352482534945e-12,3.865352482534945e-12,-4.215427302964314e-05,4.215427302964314e-05
172800.0,1.0,3.922195901395753e-12,3.922195901395753e-12,-4.371644295322885e-05,4.371644295322885e-05
172800.0,1.1,3.353761712787673e-12,3.353761712787673e-12,-4.5608778159095253e-05,4.5608778159095253e-05
172800.0,1.2,3.0127011996228248e-12,3.0127011996228248e-12,-4.792318913623972e-05,4.792318913623972e-05
172800.0,1.3,2.7284841053187847e-12,2.7284841053187847e-12,-5.0798356792142174e-05,5.0798356792142174e-05
172800.0,1.4,3.0127011996228248e-12,3.0127011996228248e-12,-5.439048969857474e-05,5.439048969857474e-05
172800.0,1.5,3.126388037344441e-12,3.126388037344441e-12,-5.903201800841473e-05,5.903201800841473e-05
172800.0,1.6,3.0127011996228248e-12,3.0127011996228248e-12,-6.538437251912832e-05,6.538437251912832e-05
172800.0,1.7,4.831690603168681e-12,4.831690603168681e-12,-7.47996305191373e-05,7.47996305191373e-05
172800.0,1.8,1.0800249583553523e-12,1.0800249583553523e-12,-9.079936288489132e-05,9.079936288489132e-05
172800.0,1.9,9.094947017729282e-13,9.094947017729282e-13,-0.00012652592982671795,0.00012652592982671795
172800.0,2.0,4.547473508864641e-12,4.547473508864641e-12,-2.0035862035652774e-06,2.0035862035652774e-06
259200.0,0.0,-3.183231456205249e-12,3.183231456205249e-12,-3.323748603081822e-05,3.323748603081822e-05
259200.0,0.1,-3.808509063674137e-12,3.808509063674137e-12,-3.328164802995914e-05,3.328164802995914e-05
259200.0,0.2,-3.183231456205249e-12,3.183231456205249e-12,-3.341488411706672e-05,3.341488411706672e-05
259200.0,0.3,-3.353761712787673e-12,3.353761712787673e-12,-3.363974544287607e-05,3.363974544287607e-05
259200.0,0.4,-3.069544618483633e-12,3.069544618483633e-12,-3.396111492531828e-05,3.396111492531828e-05
259200.0,0.5,-3.183231456205249e-12,3.183231456205249e-12,-3.4385659007568625e-05,3.4385659007568625e-05
259200.0,0.6,-3.467448550509289e-12,3.467448550509289e-12,-3.491941044583835e-05,3.491941044583835e-05
259200.0,0.7,-3.296918293926865e-12,3.296918293926865e-12,-3.5580564410775395e-05,3.5580564410775395e-05
259200.0,0.8,-3.296918293926865e-12,3.296918293926865e-12,-3.6380919091999475e-05,3.6380919091999475e-05
259200.0,0.9,-3.069544618483633e-12,3.069544618483633e-12,-3.735009139213541e-05,3.735009139213541e-05
259200.0,1.0,-3.126388037344441e-12,3.126388037344441e-12,-3.8527076803490656e-05,3.8527076803490656e-05
259200.0,1.1,-3.296918293926865e-12,3.296918293926865e-12,-3.995582565163858e-05,3.995582565163858e-05
259200.0,1.2,-3.410605131648481e-12,3.410605131648481e-12,-4.170738589388823e-05,4.170738589388823e-05
259200.0,1.3,-3.581135388230905e-12,3.581135388230905e-12,-4.388902466076483e-05,4.388902466076483e-05
259200.0,1.4,-3.808509063674137e-12,3.808509063674137e-12,-4.661785253072537e-05,4.661785253072537e-05
259200.0,1.5,-4.206412995699793e-12,4.206412995699793e-12,-5.014810717032803e-05,5.014810717032803e-05
259200.0,1.6,-4.490630090003833e-12,4.490630090003833e-12,-5.498852303208179e-05,5.498852303208179e-05
259200.0,1.7,-5.286437954055145e-12,5.286437954055145e-12,-6.217466953549466e-05,6.217466953549466e-05
259200.0,1.8,-5.286437954055145e-12,5.286437954055145e-12,-7.439204243359088e-05,7.439204243359088e-05
259200.0,1.9,-5.4569682106375694e-12,5.4569682106375694e-12,-0.00010147461116170875,0.00010147461116170875
259200.0,2.0,4.149569576838985e-12,4.149569576838985e-12,-1.5708367903446985e-06,1.5708367903446985e-06
