time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,cmax_kg_kg,critical_radius_cm,volume_mean_kg_kg
200580.0,0.15190689765023815,0.15181378985713967,0.15153374701174444,0.1510645808931595,0.15040253344619073,0.1495421016741411,0.14847576446382146,0.14719358172552272,0.14568261904220534,0.14392611193558472,0.1419022314516699,0.13958223585311338,0.1369275714523535,0.13388516130055442,0.1303792732426846,0.12629645126660383,0.12145469717560378,0.11553109345231466,0.10785147429017508,0.09648501033129242,0.052805082679667124,0.15190689765023815,0.0,0.12465947251262069
200640.0,0.15188835274893545,0.15179526484937175,0.1515152817832596,0.1510462156297204,0.15038430884976964,0.14952405920416156,0.1484579466177876,0.14717603237732782,0.14566538386248948,0.14390923893126237,0.14188577168124308,0.13956624440265647,0.13691210881981525,0.13387029543833565,0.13036508272921868,0.12628303055214687,0.12144216602948638,0.11551961616246542,0.10784130678551002,0.09647666513887791,0.05280351726275473,0.15188835274893545,0.0,0.12464612487566973
200700.0,0.15186981851370682,0.15177675049464975,0.15149682716868448,0.15102786091479384,0.15036609470994539,0.14950602707195834,0.14844013896327632,0.14715849304626072,0.14564815849643664,0.14389237550685108,0.14186932122508555,0.13955026196680584,0.1368966548653161,0.1338554378766904,0.13035090009223693,0.1262696172348758,0.12142964173233389,0.11550814508034524,0.10783114470499394,0.09646832430864495,0.05280195328687527,0.15186981851370682,0.0,0.12463278469353184
200760.0,0.15185129493445465,0.1517582467828872,0.15147838315797155,0.15100951673840166,0.15034789101683452,0.1494880052677704,0.14842234149067654,0.14714096372288854,0.1456309429348229,0.14387552165336528,0.14185288007448216,0.13953428853715172,0.13688120958079006,0.1338405886079354,0.13033672532448318,0.12625621130801737,0.12141712427791981,0.1154966802003578,0.10782098804378129,0.09645998783673648,0.05280039075884702,0.15185129493445465,0.0,0.1246194519597188
200820.0,0.1518327820010908,0.15173975370401174,0.15145994974108867,0.15099118309057866,0.15032969776056623,0.14946999378184989,0.1484045541903911,0.14712344439779418,0.14561373716843834,0.14385867736183425,0.14183644822073255,0.13951832410529758,0.13686577295817845,0.1338257476243894,0.13032255841869747,0.126242812764783,0.1214046136599898,0.11548522151686826,0.10781083679699204,0.09645165571928359,0.052798829674708905,0.1518327820010908,0.0,0.12460612666721099
200880.0,0.15181427970354394,0.15172127124796392,0.1514415269080175,0.15097285996137358,0.15031151493128347,0.1494519926044619,0.14838677705283382,0.14710593506156924,0.1455965411880824,0.14384184262329444,0.14182002565514182,0.1395023686628495,0.13685034498942472,0.13381091491837185,0.13030839936762065,0.12622942159838682,0.1213921098722989,0.11547376902426025,0.10780069095976985,0.096443327952445,0.0527972700292136,0.15181427970354394,0.0,0.12459280880893642
200940.0,0.1517957880317538,0.15170279940469766,0.1514231146487521,0.15095454734084732,0.1502933425191413,0.14943400172588156,0.1483690100684308,0.1470884357048171,0.1455793549845648,0.14382501742879308,0.1418036123690256,0.13948642220142735,0.13683492566648836,0.13379609048222246,0.1302942481640186,0.1262160378020741,0.1213796129086354,0.11546232271695296,0.10779055052729407,0.09643500453241302,0.052795711820075995,0.1517957880317538,0.0,0.12457949837798973
201000.0,0.15177730697567302,0.1516843381641788,0.15140471295329827,0.1509362452190726,0.15027518051430727,0.14941602113639824,0.14835125322761908,0.1470709463181541,0.14556217854871037,0.14380820176939166,0.14178720835371697,0.13947048471266574,0.13681951498134418,0.133781274308296,0.13028010480066848,0.12620266136909625,0.12136712276278887,0.1154508825893567,0.10778041549472349,0.09642668545533549,0.05279415505081331,0.15177730697567302,0.0,0.1245661953677496
201060.0,0.1517588365252672,0.15166588751638685,0.15138632181167608,0.15091795358613552,0.15025702890696166,0.14939805082631455,0.14833350652085117,0.14705346689221008,0.14554501187135507,0.14379139563616494,0.14177081360055718,0.13945455618820898,0.13680411292597294,0.13376646638894837,0.13026596927034528,0.12618929229269946,0.1213546394285402,0.1154394486358742,0.10777028585721521,0.09641837071738571,0.0527925997153124,0.1517588365252672,0.0,0.12455289977112995
201120.0,0.15174037667051646,0.15164744745131395,0.15136794121391794,0.15089967243213642,0.15023888768729757,0.14938009078594497,0.14831576993859166,0.1470359974176255,0.14552785494334583,0.1437745990201956,0.14175442810089758,0.1394386366197083,0.13678871949236326,0.1337516667165447,0.1302518415658373,0.12617593056614765,0.12134216289969472,0.11542802085093895,0.10776016160996013,0.09641006031475748,0.052791045810944855,0.15174037667051646,0.0,0.12453961158123084
201180.0,0.15172192740141416,0.1516290179589671,0.1513495711500697,0.1508814017471884,0.15022075684552239,0.14936214100561726,0.14829804347131528,0.14701853788505356,0.14551070775554345,0.14375781191258008,0.1417380518461033,0.13942272599883243,0.13677333467252153,0.13373687528346886,0.13023772167994874,0.12616257618271542,0.12132969317005989,0.11541659922897476,0.10775004274812636,0.09640175424361459,0.052789493340488984,0.15172192740141416,0.0,0.12452633079141921
201240.0,0.1517034887079654,0.15161059902936377,0.15133121161019011,0.15086314152141647,0.15020263637185405,0.14934420147567096,0.14828032710951175,0.14700108828516087,0.145493570298819,0.14374103430442667,0.14172168482754965,0.13940682431725482,0.13675795845845634,0.13372209208210423,0.13022360960548165,0.12614922913567655,0.12131723023344758,0.11540518376441838,0.10773992926690591,0.09639345250015205,0.052787942298287205,0.1517034887079654,0.0,0.12451305739466068
201300.0,0.15168506058018838,0.15159219065253776,0.15131286258435062,0.15084489174495874,0.15018452625652587,0.1493262721864584,0.1482626208436823,0.146983648608625,0.14547644256405518,0.14372426618685347,0.14170532703662062,0.13939093156666266,0.13674259084219137,0.13370731710484898,0.13020950533525444,0.12613588941832182,0.1213047740836822,0.11539377445171173,0.10772982116148659,0.09638515508055455,0.05278639268324567,0.15168506058018838,0.0,0.12449979138415161
201360.0,0.15166664300811397,0.15157379281853264,0.15129452406263644,0.15082665240796622,0.15016642648978168,0.14930835312834567,0.1482449246643402,0.14696621884613442,0.14545932454214738,0.14370750755099115,0.14168897846471445,0.1393750477387515,0.13672723181575755,0.13369255034411018,0.13019540886209213,0.12612255702394634,0.12129232471459243,0.11538237128530315,0.1077197184270646,0.09637686198101113,0.05278484449844163,0.15166664300811397,0.0,0.1244865327532995
201420.0,0.1516482359817873,0.1515554055174066,0.15127619603514436,0.15080842350060314,0.15014833706187788,0.14929044429170965,0.14822723856200953,0.14694879898839108,0.1454422162240014,0.14369075838797937,0.14167263910323696,0.1393591728252258,0.1367118813711928,0.13367779179229697,0.13018132017882122,0.12610923194584228,0.12127988212000437,0.11537097425963863,0.10770962105883904,0.09636857319773162,0.05278329773322334,0.1516482359817873,0.0,0.12447328149484824
201480.0,0.15162983949126682,0.1515370287392294,0.15125787849198538,0.15079020501304552,0.15013025796308385,0.14927254566693887,0.14820956252722695,0.14693138902610728,0.14542511760053323,0.14367401868897015,0.1416563089436056,0.13934330681780382,0.13669653950055358,0.1336630414418422,0.1301672392782945,0.12609591417733917,0.12126744629378429,0.11535958336920744,0.1076995290520476,0.09636028872694502,0.05278175238984401,0.15162983949126682,0.0,0.1244600376021943
201540.0,0.1516114535266198,0.15151866247408402,0.15123957142328087,0.15077199693548235,0.1501121891836823,0.14925465724443596,0.14819189655054327,0.14691398895000946,0.14540802866267621,0.1436572884451308,0.14163998797725494,0.1393274497082189,0.13668120619590615,0.13364829928518615,0.13015316615337005,0.12608260371176055,0.12125501722978584,0.11534819860847385,0.10768944240189351,0.09635200856483905,0.05278020846974661,0.1516114535266198,0.0,0.12444680106869047
201600.0,0.15159307807793104,0.15150030671206777,0.15122127481916836,0.15075379925811633,0.15009413071396788,0.1492367790146169,0.14817424062252227,0.1468965987508359,0.14539094940137215,0.14364056764763744,0.14162367619562538,0.13931160148820973,0.1366658814493214,0.13363356531476925,0.1301391007969012,0.1260693005424249,0.12124259492185413,0.11533681997189688,0.1076793611035766,0.09634373270760536,0.052778665967445355,0.15159307807793104,0.0,0.12443357188735342
201660.0,0.15157471313529783,0.1514819614432899,0.15120298866979628,0.1507356119711618,0.1500760825442485,0.1492189109679089,0.14815659473373685,0.1468792184193353,0.14537387980757344,0.14362385628767563,0.1416073735901663,0.13929576214952247,0.1366505652528784,0.13361883952304304,0.1301250432017556,0.12605600466266886,0.12123017936385923,0.11532544745396418,0.10766928515233172,0.096335461151474,0.0527771248830463,0.15157471313529783,0.0,0.12442035005149053
201720.0,0.1515563586888276,0.1514636266578718,0.15118471296532554,0.15071743506484642,0.15005804466484413,0.14920105309475018,0.14813895887477277,0.14686184794626772,0.14535681987224297,0.14360715435644128,0.14159108015233796,0.13927993168391414,0.13663525759866607,0.13360412190246818,0.13011099336080992,0.12604271606583392,0.12121777054967378,0.11531408104916648,0.10765921454340106,0.09632719389269113,0.05277558521110544,0.1515563586888276,0.0,0.12440713555414712
201780.0,0.15153801472864134,0.15144530234594802,0.1511664476959299,0.15069926852940874,0.1500400170660853,0.1491832053855915,0.14812133303622674,0.14684448732240546,0.14533976958635675,0.1435904618451435,0.14157479587361504,0.13926411008315712,0.1366199584787924,0.1335894124455248,0.1300969512669617,0.1260294347452895,0.12120536847319954,0.11530272075202132,0.10764914927203988,0.09631893092748918,0.052774046951909584,0.15153801472864134,0.0,0.1243939283886627
201840.0,0.15151968124487256,0.15142698849766503,0.15114819285179573,0.15068111235510145,0.15002199973831803,0.14916536783089704,0.14810371720871135,0.14682713653853394,0.14532272894090542,0.1435737787450064,0.14155852074548614,0.13924829733903824,0.1366046678853766,0.13357471114470387,0.13008291691311616,0.12601616069440352,0.1211929731283301,0.11529136655702979,0.10763908933348326,0.09631067225208434,0.05277251010606105,0.15151968124487256,0.0,0.12438072854839329
201900.0,0.15150135822766883,0.15140868510318395,0.15112994842312216,0.15066296653219022,0.1500039926718987,0.14914754042114478,0.14808611138285002,0.14680979558545276,0.14530569792688872,0.14355710504726288,0.1415422547594469,0.1392324934433467,0.1365893858105351,0.13356001799248776,0.1300688902921648,0.1260028939065259,0.12118058450893766,0.11528001845867164,0.10762903472294708,0.09630241786267672,0.05277097467007206,0.15150135822766883,0.0,0.12436753602648874
201960.0,0.151483045667191,0.1513903921526772,0.15111171440012286,0.1506448310509525,0.1499859958571979,0.1491297231468225,0.14806851554927591,0.14679246445396765,0.1452886765353157,0.14354044074315206,0.14152599790699688,0.13921669838787856,0.1365741122463962,0.13354533298137636,0.13005487139702326,0.1259896343750445,0.12116820260894512,0.1152686764514901,0.10761898543572583,0.09629416775555669,0.052769440642658864,0.151483045667191,0.0,0.1243543508162405
202020.0,0.15146474355361014,0.15137210963632963,0.15109349077302112,0.15062670590167815,0.14996800928459686,0.14911191599843,0.1480509296986349,0.1467751431348991,0.14527166475720843,0.1435237858239282,0.14150975017965536,0.13920091216444982,0.13655884718510705,0.13353065610388806,0.13004086022062344,0.12597638209335257,0.12115582742227135,0.11525734053001561,0.10760894146708781,0.09628592192698122,0.05276790801863808,0.15146474355361014,0.0,0.12434117291075185
202080.0,0.1514464518771112,0.1513538375443394,0.15107527753205321,0.1506085910746692,0.14995003294448989,0.1490941189664804,0.14803335382158694,0.14675783161907974,0.14525466258360276,0.14350714028086034,0.14149351156895368,0.13918513476488525,0.13654359061882373,0.1335159873525451,0.1300268567558979,0.1259631370548448,0.1211434589428339,0.1152460106887708,0.10759890281228486,0.09627768037316958,0.05276637680129914,0.1514464518771112,0.0,0.12432800230353844
202140.0,0.151428170627892,0.15133557586691768,0.15105707466747068,0.15059048656024057,0.14993206682728386,0.14907633204149956,0.14801578790880282,0.14674052989735342,0.1452376700055444,0.14349050410522401,0.14147728206642932,0.13916936618101866,0.1365283425397089,0.1335013267198799,0.13001286099579423,0.12594989925293332,0.12113109716457415,0.11523468692230776,0.10758886946660878,0.09626944309040202,0.05276484698616096,0.151428170627892,0.0,0.12431483898775748
202200.0,0.1514098997961642,0.15131732459428773,0.15103888216953498,0.15057239234872083,0.14991411092339907,0.14905855521402508,0.14799823195096545,0.14672323796057785,0.14522068701409202,0.14347387728831,0.1414610616636346,0.13915360640469532,0.13651310293993651,0.13348667419843235,0.12999887293325788,0.1259366686810222,0.12111874208141456,0.1152233692251527,0.10757884142531686,0.09626121007491449,0.05276331856983962,0.1514098997961642,0.0,0.12430168295661344
202260.0,0.15139163937214933,0.15129908371668568,0.1510207000285229,0.15055430843045067,0.14989616522326668,0.14904078847460703,0.14798068593877012,0.14670595579962017,0.14520371360031326,0.14345725982141527,0.14144485035212778,0.13913785542776702,0.13649787181168682,0.1334720297807515,0.12998489256125234,0.12592344533253824,0.12110639368731134,0.11521205759187586,0.10756881868371694,0.09625298132298839,0.052761791555778946,0.15139163937214933,0.0,0.1242885342036658
202320.0,0.15137338934608474,0.15128085322436086,0.1510025282347211,0.15053623479578326,0.1498782297173314,0.14902303181380733,0.14796314986292383,0.1466886834053596,0.14518674975528903,0.14344065169585143,0.14142864812348085,0.13912211324209972,0.13648264914715494,0.1334573934593963,0.12997091987274367,0.12591022920090447,0.12109405197620557,0.11520075201701852,0.10755880123707985,0.09624475683087723,0.052760265937507676,0.15137338934608474,0.0,0.12427539272198687
202380.0,0.15135514970821803,0.15126263310757496,0.15098436677842964,0.15051817143508311,0.14986030439604917,0.1490052852222005,0.147945623714145,0.14667142076868586,0.1451697954701099,0.1434240529029387,0.14141245496927393,0.1391063798395665,0.13646743493853958,0.13344276522693244,0.12995695486070755,0.12589702027955815,0.1210817169420589,0.11518945249515217,0.10754878908071558,0.09623653659487588,0.052758741712264634,0.15135514970821803,0.0,0.12426225850484707
