time_s,distance_cm,temperature_c
874,2,31.598781889907286
874.25,2,31.600045892031631
874.5,2,31.601309925488408
874.75,2,31.602573990163478
875,2,31.603838085946791
875.25,2,31.60510221273114
875.5,2,31.606366370413355
875.75,2,31.607630558892765
876,2,31.60889477807234
876.25,2,31.610159027858742
876.5,2,31.611423308160568
876.75,2,31.612687618889993
877,2,31.613951959962094
877.25,2,31.615216331295187
877.5,2,31.616480732809748
877.75,2,31.617745164429152
878,2,31.619009626079503
878.25,2,31.620274117689576
878.5,2,31.621538639190817
878.75,2,31.622803190516947
879,2,31.624067771604359
879.25,2,31.625332382391434
879.5,2,31.626597022819738
879.75,2,31.627861692832084
880,2,31.629126392373792
880.25,2,31.630391121393075
880.5,2,31.631655879839855
880.75,2,31.632920667665815
881,2,31.634185484825082
881.25,2,31.635450331273603
881.5,2,31.636715206969654
881.75,2,31.637980111873105
882,2,31.639245045945358
882.25,2,31.640510009150546
882.5,2,31.641775001454334
882.75,2,31.643040022823811
883,2,31.644305073227997
883.25,2,31.645570152637617
883.5,2,31.646835261024819
883.75,2,31.648100398363908
884,2,31.649365564630216
884.25,2,31.650630759800947
884.5,2,31.651895983855127
884.75,2,31.653161236772462
885,2,31.654426518534763
885.25,2,31.65569182912526
885.5,2,31.656957168528265
885.75,2,31.658222536730023
886,2,31.659487933717173
886.25,2,31.660753359478633
886.5,2,31.662018814004171
886.75,2,31.663284297284747
887,2,31.664549809312916
887.25,2,31.665815350082312
887.5,2,31.667080919587647
887.75,2,31.668346517824716
888,2,31.669612144790676
888.25,2,31.670877800483822
888.5,2,31.672143484903359
888.75,2,31.673409198049455
889,2,31.674674939923989
889.25,2,31.675940710529289
889.5,2,31.67720650986854
889.75,2,31.67847233794663
890,2,31.679738194768845
890.25,2,31.681004080341665
890.5,2,31.682269994672311
890.75,2,31.683535937769136
891,2,31.684801909641067
891.25,2,31.686067910298391
891.5,2,31.687333939751909
891.75,2,31.688599998013274
892,2,31.689866085095275
892.25,2,31.691132201011328
892.5,2,31.692398345775189
892.75,2,31.693664519402091
893,2,31.694930721907781
893.25,2,31.696196953308458
893.5,2,31.697463213621688
893.75,2,31.698729502865206
894,2,31.699995821057655
894.25,2,31.70126216821842
894.5,2,31.702528544367624
894.75,2,31.703794949525502
895,2,31.705061383713598
895.25,2,31.706327846953741
895.5,2,31.707594339268326
895.75,2,31.708860860681057
896,2,31.710127411215353
896.25,2,31.711393990895431
896.5,2,31.712660599746471
896.75,2,31.713927237793712
897,2,31.715193905063302
897.25,2,31.716460601581844
897.5,2,31.717727327376451
897.75,2,31.718994082474524
898,2,31.720260866904539
898.25,2,31.721527680694919
898.5,2,31.722794523875052
898.75,2,31.724061396473871
899,2,31.725328298521788
899.25,2,31.726595230049497
899.5,2,31.727862191087752
899.75,2,31.729129181667929
900,2,31.730396201821975
900.25,2,31.731672162725317
900.5,2,31.732954051896627
900.75,2,31.734240365714754
901,2,31.735530270627862
901.25,2,31.736823253415594
901.5,2,31.738118967664491
901.75,2,31.739417161812867
902,2,31.740717642848836
902.25,2,31.742020256547221
902.5,2,31.743324875892938
902.75,2,31.744631393844656
903,2,31.745939718553302
903.25,2,31.747249770055475
903.5,2,31.74856147790382
903.75,2,31.749874779410561
904,2,31.75118961831862
904.25,2,31.752505943770302
904.5,2,31.753823709495691
904.75,2,31.755142873162072
905,2,31.756463395845742
905.25,2,31.757785241597617
905.5,2,31.759108377083464
905.75,2,31.760432771282467
906,2,31.761758395231652
906.25,2,31.763085221809149
906.5,2,31.76441322554524
906.75,2,31.765742382464737
907,2,31.76707266994498
907.25,2,31.76840406659403
907.5,2,31.769736552143513
907.75,2,31.77107010735341
908,2,31.772404713929006
908.25,2,31.773740354446261
908.5,2,31.775077012284726
908.75,2,31.776414671567807
909,2,31.777753317109728
909.25,2,31.779092934366531
909.5,2,31.780433509393617
909.75,2,31.781775028804077
910,2,31.783117479734074
910.25,2,31.784460849808795
910.5,2,31.78580512711352
910.75,2,31.787150300165763
911,2,31.788496357889187
911.25,2,31.789843289590863
911.5,2,31.791191084940294
911.75,2,31.792539733948672
912,2,31.793889226951364
912.25,2,31.795239554590012
912.5,2,31.796590707798259
912.75,2,31.797942677785556
913,2,31.79929545602397
913.25,2,31.800649034235789
913.5,2,31.802003404381821
913.75,2,31.803358558650018
914,2,31.804714489444677
914.25,2,31.806071189377121
914.5,2,31.807428651256316
914.75,2,31.808786868081143
915,2,31.810145833031072
915.25,2,31.811505539459745
915.5,2,31.812865980886897
915.75,2,31.814227150992053
916,2,31.815589043607474
916.25,2,31.816951652714067
916.5,2,31.818314972432802
916.75,2,31.819678997022436
917,2,31.821043720871387
917.25,2,31.822409138495175
917.5,2,31.82377524453085
917.75,2,31.825142033732504
918,2,31.82650950096729
918.25,2,31.827877641212012
918.5,2,31.829246449548464
918.75,2,31.830615921160359
919,2,31.831986051330091
919.25,2,31.83335683543504
919.5,2,31.834728268944446
919.75,2,31.836100347416902
920,2,31.837473066497239
920.25,2,31.838846421913729
920.5,2,31.840220409476046
920.75,2,31.841595025071513
921,2,31.842970264664132
921.25,2,31.844346124291349
921.5,2,31.8457226000628
921.75,2,31.847099688157471
922,2,31.848477384821479
922.25,2,31.849855686366766
922.5,2,31.851234589169223
922.75,2,31.852614089666361
923,2,31.853994184356168
923.25,2,31.855374869795185
923.5,2,31.856756142597192
923.75,2,31.858137999431278
924,2,31.859520437019967
924.25,2,31.860903452139723
924.5,2,31.862287041617151
924.75,2,31.863671202329272
925,2,31.865055931201539
925.25,2,31.866441225206927
925.5,2,31.867827081364851
925.75,2,31.869213496739519
926,2,31.870600468439136
926.25,2,31.871987993615505
926.5,2,31.873376069461585
926.75,2,31.874764693211489
927,2,31.876153862139347
927.25,2,31.877543573558512
927.5,2,31.878933824819967
927.75,2,31.880324613312666
928,2,31.881715936461376
928.25,2,31.883107791726445
928.5,2,31.884500176603581
928.75,2,31.88589308862214
929,2,31.88728652534445
929.25,2,31.888680484365807
929.5,2,31.890074963313452
929.75,2,31.891469959845722
930,2,31.892865471651191
930.25,2,31.894261496448962
930.5,2,31.895658031986841
930.75,2,31.89705507604134
931,2,31.898452626417054
931.25,2,31.899850680945804
931.5,2,31.901249237487264
931.75,2,31.902648293926916
932,2,31.904047848175935
932.25,2,31.905447898171303
932.5,2,31.906848441874388
932.75,2,31.908249477271227
933,2,31.909651002372073
933.25,2,31.911053015209802
933.5,2,31.91245551384128
933.75,2,31.91385849634554
934,2,31.915261960823671
934.25,2,31.916665905398872
934.5,2,31.918070328214867
934.75,2,31.919475227437147
935,2,31.920880601252009
935.25,2,31.922286447864906
935.5,2,31.923692765501983
935.75,2,31.925099552408824
936,2,31.926506806849716
936.25,2,31.927914527108157
936.5,2,31.929322711485725
936.75,2,31.930731358302978
937,2,31.932140465897135
937.25,2,31.933550032624225
937.5,2,31.93496005685671
937.75,2,31.936370536984441
938,2,31.937781471413587
938.25,2,31.939192858566855
938.5,2,31.940604696882986
938.75,2,31.942016984817201
939,2,31.943429720839106
939.25,2,31.944842903435131
939.5,2,31.946256531105632
939.75,2,31.947670602366429
940,2,31.949085115747778
940.25,2,31.95050006979443
940.5,2,31.951915463065404
940.75,2,31.95333129413342
941,2,31.954747561584838
941.25,2,31.956164264019776
941.5,2,31.957581400051879
941.75,2,31.958998968307355
942,2,31.960416967425829
942.25,2,31.961835396059428
942.5,2,31.963254252873014
942.75,2,31.964673536543216
943,2,31.966093245759453
943.25,2,31.96751337922268
943.5,2,31.968933935645907
