time_s,distance_cm,moisture_kg_kg
1059.5,1,2.5491011211831403
1059.75,1,2.5490998550445969
1060,1,2.5490985876711383
1060.25,1,2.5490973190621955
1060.5,1,2.549096049217201
1060.75,1,2.5490947781355864
1061,1,2.549093505816785
1061.25,1,2.5490922322602287
1061.5,1,2.5490909574653502
1061.75,1,2.5490896814315822
1062,1,2.5490884041583581
1062.25,1,2.5490871256451113
1062.5,1,2.5490858458912751
1062.75,1,2.5490845648962854
1063,1,2.5490832826595748
1063.25,1,2.5490819991805771
1063.5,1,2.5490807144587282
1063.75,1,2.549079428493461
1064,1,2.5490781412842125
1064.25,1,2.5490768528304177
1064.5,1,2.5490755631315114
1064.75,1,2.5490742721869295
1065,1,2.5490729799961085
1065.25,1,2.5490716865584844
1065.5,1,2.549070391873494
1065.75,1,2.5490690959405722
1066,1,2.5490677987591566
1066.25,1,2.549066500328685
1066.5,1,2.5490652006485943
1066.75,1,2.5490638997183224
1067,1,2.5490625975373074
1067.25,1,2.5490612941049871
1067.5,1,2.5490599894207993
1067.75,1,2.5490586834841831
1068,1,2.5490573762945763
1068.25,1,2.5490560678514185
1068.5,1,2.5490547581541492
1068.75,1,2.5490534472022071
1069,1,2.5490521349950326
1069.25,1,2.5490508215320653
1069.5,1,2.5490495068127452
1069.75,1,2.5490481908365124
1070,1,2.5490468736028085
1070.25,1,2.5490455551110727
1070.5,1,2.5490442353607472
1070.75,1,2.5490429143512729
1071,1,2.5490415920820912
1071.25,1,2.5490402685526434
1071.5,1,2.5490389437623726
1071.75,1,2.5490376177107201
1072,1,2.5490362903971286
1072.25,1,2.5490349618210404
1072.5,1,2.5490336319818989
1072.75,1,2.5490323008791478
1073,1,2.5490309685122288
1073.25,1,2.5490296348805872
1073.5,1,2.5490282999836658
1073.75,1,2.5490269638209098
1074,1,2.5490256263917614
1074.25,1,2.5490242876956679
1074.5,1,2.5490229477320727
1074.75,1,2.5490216065004208
1075,1,2.549020264000156
1075.25,1,2.5490189202307256
1075.5,1,2.5490175751915753
1075.75,1,2.5490162288821505
1076,1,2.5490148813018987
1076.25,1,2.5490135324502647
1076.5,1,2.5490121823266954
1076.75,1,2.5490108309306367
1077,1,2.5490094782615387
1077.25,1,2.549008124318846
1077.5,1,2.5490067691020077
1077.75,1,2.5490054126104713
1078,1,2.5490040548436856
1078.25,1,2.5490026958010965
1078.5,1,2.5490013354821546
1078.75,1,2.5489999738863083
1079,1,2.548998611013007
1079.25,1,2.5489972468616986
1079.5,1,2.5489958814318339
1079.75,1,2.5489945147228621
1080,1,2.5489931467342344
1080.25,1,2.5489917774653996
1080.5,1,2.5489904069158076
1080.75,1,2.5489890350849098
1081,1,2.5489876619721588
1081.25,1,2.5489862875770042
1081.5,1,2.5489849118988972
1081.75,1,2.5489835349372902
1082,1,2.548982156691634
1082.25,1,2.5489807771613813
1082.5,1,2.548979396345985
1082.75,1,2.5489780142448968
1083,1,2.5489766308575694
1083.25,1,2.5489752461834576
1083.5,1,2.5489738602220133
1083.75,1,2.5489724729726904
1084,1,2.5489710844349429
1084.25,1,2.5489696946082243
1084.5,1,2.5489683034919892
1084.75,1,2.5489669110856923
1085,1,2.5489655173887886
1085.25,1,2.548964122400732
1085.5,1,2.5489627261209789
1085.75,1,2.5489613285489847
1086,1,2.5489599296842052
1086.25,1,2.5489585295260953
1086.5,1,2.5489571280741119
1086.75,1,2.548955725327712
1087,1,2.5489543212863519
1087.25,1,2.5489529159494881
1087.5,1,2.548951509316578
1087.75,1,2.5489501013870788
1088,1,2.5489486921604483
1088.25,1,2.5489472816361451
1088.5,1,2.5489458698136267
1088.75,1,2.548944456692352
1089,1,2.5489430422717798
1089.25,1,2.5489416265513691
1089.5,1,2.5489402095305769
1089.75,1,2.5489387912088639
1090,1,2.5489373715856907
1090.25,1,2.5489359506605167
1090.5,1,2.5489345284328011
1090.75,1,2.5489331049020048
1091,1,2.5489316800675894
1091.25,1,2.5489302539290142
1091.5,1,2.5489288264857408
1091.75,1,2.5489273977372298
1092,1,2.5489259676829437
1092.25,1,2.5489245363223443
1092.5,1,2.5489231036548929
1092.75,1,2.5489216696800536
1093,1,2.5489202343972868
1093.25,1,2.5489187978060568
1093.5,1,2.5489173599058259
1093.75,1,2.5489159206960577
1094,1,2.5489144801762151
1094.25,1,2.5489130383457632
1094.5,1,2.5489115952041645
1094.75,1,2.5489101507508845
1095,1,2.5489087049853865
1095.25,1,2.5489072579071355
1095.5,1,2.5489058095155976
1095.75,1,2.5489043598102388
1096,1,2.5489029087905215
1096.25,1,2.5489014564559134
1096.5,1,2.5489000028058801
1096.75,1,2.548898547839888
1097,1,2.5488970915574027
1097.25,1,2.5488956339578928
1097.5,1,2.5488941750408243
1097.75,1,2.5488927148056644
1098,1,2.5488912532518797
1098.25,1,2.5488897903789391
1098.5,1,2.5488883261863107
1098.75,1,2.5488868606734627
1099,1,2.5488853938398619
1099.25,1,2.5488839256849785
1099.5,1,2.5488824562082817
1099.75,1,2.5488809854092396
1100,1,2.5488795132873219
1100.25,1,2.5488780398420001
1100.5,1,2.5488765650727423
1100.75,1,2.5488750889790186
1101,1,2.5488736115603001
1101.25,1,2.5488721328160566
1101.5,1,2.548870652745761
1101.75,1,2.5488691713488834
1102,1,2.5488676886248944
1102.25,1,2.5488662045732675
1102.5,1,2.5488647191934732
1102.75,1,2.5488632324849845
1103,1,2.5488617444472728
1103.25,1,2.5488602550798114
1103.5,1,2.5488587643820737
1103.75,1,2.5488572723535325
1104,1,2.5488557789936617
1104.25,1,2.5488542843019348
1104.5,1,2.5488527882778245
1104.75,1,2.5488512909208056
1105,1,2.5488497922303539
1105.25,1,2.5488482922059426
1105.5,1,2.548846790847048
1105.75,1,2.5488452881531445
1106,1,2.5488437841237075
1106.25,1,2.5488422787582135
1106.5,1,2.5488407720561375
1106.75,1,2.5488392640169559
1107,1,2.5488377546401457
1107.25,1,2.5488362439251828
1107.5,1,2.548834731871545
1107.75,1,2.5488332184787086
1108,1,2.5488317037461519
1108.25,1,2.5488301876733517
1108.5,1,2.5488286702597867
1108.75,1,2.5488271515049354
1109,1,2.5488256314082758
1109.25,1,2.5488241099692872
1109.5,1,2.5488225871874479
1109.75,1,2.548821063062237
1110,1,2.5488195375931348
1110.25,1,2.548818010779621
1110.5,1,2.5488164826211746
1110.75,1,2.5488149531172763
1111,1,2.5488134222674068
1111.25,1,2.5488118900710464
1111.5,1,2.5488103565276767
1111.75,1,2.5488088216367797
1112,1,2.5488072853978356
1112.25,1,2.5488057478103268
1112.5,1,2.5488042088737357
1112.75,1,2.5488026685875429
1113,1,2.5488011269512327
1113.25,1,2.5487995839642874
1113.5,1,2.5487980396261891
1113.75,1,2.5487964939364218
1114,1,2.5487949468944695
1114.25,1,2.5487933984998157
1114.5,1,2.5487918487519452
1114.75,1,2.548790297650342
1115,1,2.5487887451944893
1115.25,1,2.5487871913838731
1115.5,1,2.5487856362179779
1115.75,1,2.5487840796962895
1116,1,2.548782521818294
1116.25,1,2.5487809625834759
1116.5,1,2.5487794019913221
1116.75,1,2.5487778400413186
1117,1,2.5487762767329527
1117.25,1,2.5487747120657107
1117.5,1,2.5487731460390806
1117.75,1,2.5487715786525493
1118,1,2.5487700099056045
1118.25,1,2.5487684397977333
1118.5,1,2.5487668683284248
1118.75,1,2.5487652954971676
1119,1,2.5487637213034491
1119.25,1,2.5487621457467586
1119.5,1,2.5487605688265855
1119.75,1,2.5487589905424204
1120,1,2.5487574108937516
1120.25,1,2.548755829880069
1120.5,1,2.5487542475008627
1120.75,1,2.5487526637556246
1121,1,2.548751078643845
1121.25,1,2.5487494921650153
1121.5,1,2.5487479043186259
1121.75,1,2.5487463151041667
1122,1,2.5487447245211308
1122.25,1,2.5487431325690109
1122.5,1,2.5487415392472998
1122.75,1,2.5487399445554888
1123,1,2.548738348493071
1123.25,1,2.5487367510595393
1123.5,1,2.548735152254388
1123.75,1,2.5487335520771088
1124,1,2.5487319505271961
1124.25,1,2.5487303476041459
1124.5,1,2.5487287433074504
1124.75,1,2.5487271376366052
1125,1,2.5487255305911041
1125.25,1,2.5487239221704439
1125.5,1,2.5487223123741187
1125.75,1,2.5487207012016246
1126,1,2.5487190886524576
1126.25,1,2.5487174747261134
1126.5,1,2.5487158594220882
1126.75,1,2.5487142427398792
1127,1,2.5487126246789837
1127.25,1,2.5487110052388986
1127.5,1,2.5487093844191211
1127.75,1,2.548707762219149
1128,1,2.5487061386384804
1128.25,1,2.548704513676614
1128.5,1,2.5487028873330471
1128.75,1,2.5487012596072791
1129,1,2.5486996304988097
1129.25,1,2.5486980000071373
1129.5,1,2.5486963681317616
1129.75,1,2.548694734872182
1130,1,2.5486931002278994
1130.25,1,2.5486914641984133
1130.5,1,2.548689826783225
1130.75,1,2.5486881879818353
1131,1,2.5486865477937446
1131.25,1,2.5486849062184551
1131.5,1,2.5486832632554677
1131.75,1,2.5486816189042854
1132,1,2.548679973164409
1132.25,1,2.5486783260353425
1132.5,1,2.5486766775165872
1132.75,1,2.5486750276076462
1133,1,2.5486733763080234
1133.25,1,2.5486717236172209
1133.5,1,2.5486700695347442
1133.75,1,2.5486684140600953
1134,1,2.5486667571927799
1134.25,1,2.5486650989323021
1134.5,1,2.5486634392781662
1134.75,1,2.5486617782298775
1135,1,2.5486601157869422
1135.25,1,2.5486584519488655
1135.5,1,2.5486567867151524
1135.75,1,2.5486551200853098
1136,1,2.5486534520588435
1136.25,1,2.5486517826352615
1136.5,1,2.5486501118140681
1136.75,1,2.5486484395947717
1137,1,2.5486467659768808
1137.25,1,2.548645090959901
1137.5,1,2.5486434145433412
1137.75,1,2.5486417367267098
1138,1,2.5486400575095156
1138.25,1,2.5486383768912666
1138.5,1,2.548636694871472
1138.75,1,2.5486350114496399
1139,1,2.5486333266252821
1139.25,1,2.548631640397907
1139.5,1,2.5486299527670253
1139.75,1,2.5486282637321458
1140,1,2.5486265732927809
1140.25,1,2.5486248814484398
1140.5,1,2.5486231881986345
1140.75,1,2.548621493542877
1141,1,2.548619797480677
1141.25,1,2.5486181000115478
1141.5,1,2.5486164011350012
1141.75,1,2.5486147008505498
1142,1,2.5486129991577067
1142.25,1,2.5486112960559839
1142.5,1,2.5486095915448952
1142.75,1,2.5486078856239529
1143,1,2.5486061782926717
1143.25,1,2.5486044695505656
1143.5,1,2.548602759397149
1143.75,1,2.5486010478319359
1144,1,2.5485993348544413
1144.25,1,2.5485976204641805
1144.5,1,2.5485959046606683
1144.75,1,2.5485941874434213
1145,1,2.5485924688119543
1145.25,1,2.5485907487657835
1145.5,1,2.5485890273044256
1145.75,1,2.548587304427397
1146,1,2.548585580134215
1146.25,1,2.5485838544243968
1146.5,1,2.5485821272974603
1146.75,1,2.548580398752923
1147,1,2.5485786687903023
1147.25,1,2.5485769374091154
1147.5,1,2.5485752046088814
1147.75,1,2.5485734703891203
1148,1,2.5485717347493502
1148.25,1,2.5485699976890901
1148.5,1,2.5485682592078613
1148.75,1,2.5485665193051825
1149,1,2.5485647779805736
1149.25,1,2.5485630352335553
1149.5,1,2.5485612910636477
1149.75,1,2.548559545470372
