time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
2640.0,1.834337569439685,2.5499999999999536,2.5499999999999536,1.3213095376466795,2.3693514404891287,4,8.909885079805755e-11,1.3642420526593924e-12,-4.085070755617575e-05,-0.00011737672533800448,-3.024687869895142e-08
2700.0,1.831896087949743,2.549999999999896,2.549999999999896,1.3157557752325024,2.365448575566827,4,8.324336805743142e-11,1.1368683772161603e-12,-4.056571468437765e-05,-0.00011623538686155257,-2.945810509608282e-08
2760.0,1.8294688634558032,2.549999999999768,2.549999999999768,1.310279111885149,2.3615587835973004,4,7.759365061356118e-11,1.1937117960769683e-12,-4.036955232212978e-05,-0.00011535390433202886,-2.895268462539889e-08
2820.0,1.8270505661272922,2.549999999999507,2.549999999999507,1.304915029841389,2.3576881829353193,4,7.708648514009317e-11,1.4779288903810084e-12,-4.0262220469431884e-05,-0.00011473653415342336,-2.823867924391332e-08
2880.0,1.824635866133638,2.5499999999989766,2.5499999999989766,1.2998634103544147,2.35384045157683,4,7.890637525739698e-11,1.2505552149377763e-12,-4.0243719126283994e-05,-0.00011440153796330637,-2.723581050740346e-08
2940.0,1.8222194336442668,2.5499999999979335,2.5499999999979335,1.2950087914769615,2.350020170627607,4,7.074121625203222e-11,1.3642420526593924e-12,-4.031404829268653e-05,-0.00011433223721181614,-2.697367447981401e-08
3000.0,1.819795938828606,2.549999999995925,2.549999999995925,1.290256445362338,2.3462324328476574,4,7.148845443897755e-11,1.3073986337985843e-12,-4.047320796863882e-05,-0.00011452130051646948,-2.6408082714680833e-08
3060.0,1.8173600518560824,2.5499999999921443,2.5499999999921443,1.2857701403228365,2.342482276835605,4,6.914437537785422e-11,1.5347723092418164e-12,-4.0721198154141125e-05,-0.00011498314110040808,-2.5878564660202463e-08
3120.0,1.8149064428961228,2.5499999999851832,2.5499999999851832,1.2816745548282735,2.338773364942666,4,7.382917462638969e-11,1.4210854715202004e-12,-4.1058018849193635e-05,-0.00011573054338554834,-2.4869440845604496e-08
3180.0,1.8124297821181545,2.5499999999726404,2.5499999999726404,1.277966675320899,2.3351085159029115,4,6.681162789709476e-11,1.4779288903810084e-12,-4.148367005379635e-05,-0.00011675922429718144,-2.4498995240770804e-08
3240.0,1.8099247396916047,2.549999999950491,2.549999999950491,1.274445798698333,2.331493035286479,4,6.460126348348204e-11,1.2505552149377763e-12,-4.199815176794905e-05,-0.00011805064516093289,-2.4158887906253003e-08
3300.0,1.8073859857859005,2.549999999912144,2.549999999912144,1.2711770315309054,2.3279308840372925,4,6.300472297896617e-11,1.3642420526593924e-12,-4.2601463991651965e-05,-0.0001196128698893659,-2.3793838294858074e-08
3360.0,1.8048081905704678,2.5499999998469893,2.5499999998469893,1.2680625934531395,2.3244264333278903,4,5.7256488305113446e-11,1.5347723092418164e-12,-4.3293606724905e-05,-0.00012143503142674676,-2.3819379257832364e-08
3420.0,1.8021860242147345,2.5499999997382585,2.5499999997382585,1.265162969200737,2.320984841617898,4,5.888601520759963e-11,1.2505552149377763e-12,-4.4074579967707985e-05,-0.00012352656264081544,-2.3469318925806322e-08
3480.0,1.7995141568881274,2.5499999995599008,2.5499999995599008,1.262442545513108,2.3176105781722933,4,5.2117867443570136e-11,1.1368683772161603e-12,-4.494438372006116e-05,-0.00012588219725457206,-2.3623117395642287e-08
3540.0,1.7967872587600737,2.5499999992721407,2.5499999992721407,1.2599202208835252,2.314309162556175,4,5.366699715791107e-11,1.1368683772161603e-12,-4.5903017981964466e-05,-0.00012850761581115048,-2.341865495055813e-08
3600.0,1.794,2.5499999988151782,2.5499999988151782,1.2578102089661076,2.3110837124358046,4,5.824783985356639e-11,1.3642420526593924e-12,-4.695048275341778e-05,-0.00013142924339787994,-2.291816821790597e-08
3660.0,1.7911592291938998,2.5499999981005246,2.5499999981005246,1.2559885435230385,2.3079233657334433,4,5.1100425473899376e-11,1.7053025658242404e-12,-4.767427303316384e-05,-0.00013347723602571092,-2.293394112860301e-08
3720.0,1.788277336819172,2.5499999969991713,2.5499999969991713,1.2542727222108194,2.304813091364675,4,5.163202559317869e-11,1.3073986337985843e-12,-4.8336431348341776e-05,-0.0001353676786044842,-2.2783704232896565e-08
3780.0,1.7853573058823529,2.5499999953257126,2.5499999953257126,1.2527545675793712,2.301748047203576,4,5.262371482740983e-11,1.3073986337985843e-12,-4.8948872887920615e-05,-0.00013714569692268176,-2.2512606294982703e-08
3840.0,1.7824021193899786,2.5499999928173094,2.5499999928173094,1.2513084849567586,2.2987229500676354,4,4.71748868359624e-11,1.2505552149377763e-12,-4.9511597651900226e-05,-0.0001387949798504251,-2.2608396478333978e-08
3900.0,1.7794147603485841,2.549999989106206,2.549999989106206,1.2498830994701884,2.2957337558479676,4,4.6541171392998936e-11,1.7053025658242404e-12,-5.0024605640280786e-05,-0.0001403112301125906,-2.257211543783913e-08
3960.0,1.7763982117647061,2.5499999836843172,2.5499999836843172,1.248531301630222,2.2927773059755276,4,4.70875707161106e-11,1.1937117960769683e-12,-5.0487896853062294e-05,-0.00014170112172865053,-2.2437430919730002e-08
4020.0,1.7733554566448801,2.5499999758581335,2.5499999758581335,1.247159971877337,2.289849325417051,4,4.226104507067093e-11,1.8758328224066645e-12,-5.090147129024418e-05,-0.0001429516291590161,-2.2588468304673827e-08
4080.0,1.7702894779956433,2.54999996469214,2.54999996469214,1.245723908770336,2.2869465087557552,4,4.093852119005823e-11,1.4779288903810084e-12,-5.126532895182756e-05,-0.00014405807282933964,-2.2659835378969214e-08
4140.0,1.7672032588235294,2.5499999489386425,2.5499999489386425,1.244420593266141,2.2840660877071617,4,4.9855004987381174e-11,1.4779288903810084e-12,-5.157946983781166e-05,-0.0001450469974139684,-2.216540375962925e-08
4200.0,1.7640997821350761,2.549999926951907,2.549999926951907,1.2431722571720443,2.2812032003318756,4,4.2132796640362814e-11,1.6484591469634324e-12,-5.184389394819648e-05,-0.00014590359071926632,-2.226685150694256e-08
4260.0,1.7609820309368192,2.549999896584413,2.549999896584413,1.2419237293303835,2.278353948555605,4,4.608763375574284e-11,1.8189894035458565e-12,-5.2058601282982255e-05,-0.00014662366371496203,-2.201952520026014e-08
4320.0,1.7578529882352945,2.5499998550625724,2.5499998550625724,1.2408309875324748,2.275514219580587,4,5.0576875899256046e-11,1.3642420526593924e-12,-5.2223591842168947e-05,-0.00014722673656677847,-2.1564027975779188e-08
4380.0,1.7547156370370371,2.549999798839187,2.549999798839187,1.2396315643022136,2.2726800682281603,4,3.624988283644005e-11,1.5347723092418164e-12,-5.2338865625756376e-05,-0.00014767397736826463,-2.1963774099323876e-08
4440.0,1.751572960348584,2.5499997234200844,2.5499997234200844,1.2382360127890644,2.2698497826923774,4,3.907831935922765e-11,2.5011104298755527e-12,-5.240442263374496e-05,-0.00014795870768412724,-2.1940758716880293e-08
4500.0,1.7484279411764705,2.5499996231618836,2.5499996231618836,1.2368702410859767,2.267020483406704,4,4.4864357972343044e-11,1.7053025658242404e-12,-5.242026286613405e-05,-0.0001481101757105015,-2.159700150018424e-08
4560.0,1.7452835625272332,2.5499994910399986,2.5499994910399986,1.2355415848306646,2.264188498140585,4,4.328834478641795e-11,1.5347723092418164e-12,-5.238638632292407e-05,-0.0001481259213176754,-2.1424141885432156e-08
4620.0,1.7421428074074075,2.5499993183875223,2.5499993183875223,1.234235486972062,2.261349520905224,4,4.699323261557636e-11,1.7053025658242404e-12,-5.230279300411503e-05,-0.00014800465582497405,-2.1071954659544015e-08
4680.0,1.7390086588235296,2.5499990946011497,2.5499990946011497,1.2329309361219647,2.2585002461359553,4,4.279361588121579e-11,2.0463630789890885e-12,-5.216948290970716e-05,-0.00014774133056272938,-2.0947372146501106e-08
4740.0,1.7358840997821352,2.549998806809882,2.549998806809882,1.2315719456001433,2.255637898747656,4,4.51577906634286e-11,1.6484591469634324e-12,-5.198645603970001e-05,-0.0001473298271891315,-2.0678352445207083e-08
4800.0,1.7327721132897604,2.549998439504565,2.549998439504565,1.2301131225160287,2.252757980726119,4,4.0757683705137574e-11,1.5347723092418164e-12,-5.175371239409335e-05,-0.0001467627225825043,-2.0675736923052925e-08
4860.0,1.7296756823529413,2.5499979741289653,2.5499979741289653,1.22847508210471,2.2498582527401654,4,3.8758007689586204e-11,1.7053025658242404e-12,-5.147125197288786e-05,-0.0001460303801233164,-2.0677919303297953e-08
