time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface,radius_cm,cmax_kg_kg,volume_mean_kg_kg
140940.0,0.18701449423528407,0.1865356716711272,0.1850933008900013,0.18266880164084306,0.17922805502016492,0.174715690201674,0.16904452980924012,0.16207567868986725,0.15357811281382236,0.1431359719796651,0.12988976846942335,0.11150486606923363,0.055418818245454506,,,,,,,,0.055418818245454506,1.1999999999999997,0.18701449423528407,0.1442691419413329
141000.0,0.18694963038923884,0.1864710796268673,0.1850295247888236,0.182606387548369,0.17916755333435788,0.1746576600809011,0.16898954725500842,0.16202435129092357,0.15353110741308915,0.14309407051385542,0.1298539981000868,0.11147690127868962,0.05541305292234828,,,,,,,,0.05541305292234828,1.2,0.18694963038923884,0.14422572160364494
141060.0,0.18688483944168244,0.18640656011681578,0.18496582013176688,0.18254404309225972,0.1791071187722796,0.17459969388136468,0.16893462474094956,0.16197307936762007,0.15348415219510006,0.1430522130782445,0.12981826442308833,0.11144896374688879,0.055407297250696694,,,,,,,,0.055407297250696694,1.2,0.18688483944168244,0.14418234734563054
141120.0,0.186820121266738,0.18634211301589107,0.18490218679612802,0.18248176815373915,0.17904675122053376,0.1745417914963088,0.1688797621679017,0.16192186282897036,0.15343724707734657,0.1430103995992466,0.12978256737536506,0.11142105342652969,0.05540155120632668,,,,,,,,0.05540155120632668,1.2000000000000002,0.186820121266738,0.14413901909018403
141180.0,0.18675547573882773,0.18627773819930843,0.184838624659494,0.18241956261430745,0.1789864505659798,0.17448395281920612,0.16882495943690123,0.16187070158416,0.15339039197747947,0.14296863000344323,0.12974690689404467,0.11139317027050918,0.05539581476517224,,,,,,,,0.05539581476517224,1.2,0.18675547573882773,0.14409573676039267
141240.0,0.1866909027326725,0.18621343554257946,0.18477513359974027,0.18235742635573993,0.1789262166957326,0.17442617774375746,0.16877021644918297,0.16181959554254732,0.1533435868133096,0.14292690421758308,0.1297112829164446,0.11136531423192067,0.05539008790327338,,,,,,,,0.05539008790327338,1.2,0.1866909027326725,0.14405250027953573
141300.0,0.18662640212329035,0.1861492049215111,0.18471171349503052,0.18229535926008744,0.17886604949716112,0.17436846616389126,0.1687155331061796,0.16176854461366255,0.1532968315028076,0.14288522216858146,0.12967569538007043,0.11133748526405193,0.05538437059677519,,,,,,,,0.05538437059677519,1.2,0.18662640212329035,0.14400930957108382
141360.0,0.1865619737859958,0.1860850462122041,0.1846483642238154,0.18223336120967343,0.1788059488578875,0.17431081797376252,0.16866090930952138,0.16171754870720859,0.15325012596410384,0.14284358378352055,0.12964014422261558,0.11130968332038294,0.055378662821926876,,,,,,,,0.055378662821926876,1.2,0.1865619737859958,0.14396616455869785
141420.0,0.18649761759639924,0.18602095929105292,0.18458508566483134,0.18217143208709488,0.1787459146657865,0.17425323306775267,0.1686063449610354,0.16166660773306002,0.15320347011548877,0.14280198898964844,0.12960462938195946,0.11128190835458404,0.05537296455508064,,,,,,,,0.05537296455508064,1.2,0.18649761759639924,0.14392306516622827
141480.0,0.18643333343040575,0.1859569440347443,0.18452187769710043,0.18210957177521975,0.1786859468089847,0.17419571134046852,0.16855183996274592,0.1616157216012641,0.15315686387541266,0.14276043771437946,0.12956915079616696,0.11125416032051394,0.05536727577269077,,,,,,,,0.05536727577269077,1.2000000000000002,0.18643333343040575,0.14388001131771444
